owner,balance
6NYMttC15Q3YhgJNWcH5kYBCCbijK2as8oSARXA72sn3,8653645369
3aPDsk8SY8mHn7PJA8o1yzG29Lqhm2EJdMHNiqs7unKk,1329308950
Gqe3Av7H7YBaToVFKnaBQadbCPXXH5YMijEeRvq8TC1Y,75000000
5NpddLVCPpBKrK1LcAKTZbL9DAND5Rxs9sTsf3puqbzj,24464158905
37JMmFGVg9dG7akKhdrbbM73WtjKkwrLUJBQ451JGNqA,2000000000
5BmPsd4DHtrPLwB7WaE5vRVXDNMndKRGTS8FJBdgqYuE,75000000
F5Yr1bG8phHPcb9WeTuDUTYKZq8DzFGSx3mHTwBhuKi6,75000000
BSDBv8CfS81A1iUgsWEMtW4qkzhWHtrGKgYMQ2oKr38b,14748814151
D5bRcgxwWxh1cNfnk5LccaajVDi2f41TgbaeKRDaEgnh,9486661965
B3pDp4xezKmJTZe3eftx5FhKXbKVi2vBqnX3Sccbt8QE,420000000
4StWHuZn9KET2pdtUk1AFwZMEP72Ww1HZNy9MhBKmRyv,75000000
3KhXiwF4vRb7pd9vY8xHUnUQPufjWJ13ZgivoE8y5JqG,8
FXYzbJSf7Cdw1kZpLDfg3ARpyNGokTw4qjBHaD61u9VD,2420000000
DJmH6GXrVK8uYZ1bZeoqhuzvr5ZBEcBJMcWa5G2QV5sm,75000000
DC4rZaJgAesNyXuw2cbCrs1r3ovM5Ti9JxcnStFXean3,75000000
2gqMowQ1kTaRSXUWnwcLDySLkaM6HUA1Nuti5Qqbyk74,75000000
