owner,DGOD,SMB,FRG,RETARDIO
6jmRV4o1dcu2d43yJhTdx2d2RyPME2LXSGww63qU1HMx,1,0,0,0
gy9YWPxz4nbEnw56SLnQ2FBhTNCQD8Lf6iHp1LmS8eK,1,0,0,0
HPG7ZWRSC7HbE9VenzdLEjejkimgUerQkkQhyUaQAX2L,3,0,0,0
3SBJTSfWUnaaKX2HevCKCJvhs3eqFugApfb4bcUBwnxc,3,0,0,0
6g8iJU1TUpEnKBaTqgf3YCtQ4mJeapRCHN3niEZnWyTB,1,0,0,0
9wfLNze8CYPqCoVrXvB9i8QAUTykkAAjYCaSd6fa1Yfn,2,0,0,0
GQipWRHWLZcXQQBYrXTTw1rSEWRpSE4skva1j39gBgw6,4,0,0,0
5f4Qda97hSRo8i42kMtohiujK6EVFcHiDb5aZh3dEdog,1,0,0,0
8E2JvSPPNbK5mPcqcDVUFzfhSXgV4zk6mbLdpC5WSq57,1,0,0,0
Bcg9NDRqpVYBKBQizWUAVm6CoshZbapaDw4QfFAvjZJA,2,0,0,0
8zAuUsRmPwS3JBkVSVNr5uRNbjCBUMepytKU1ugJ78sm,1,0,0,0
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,6,1,0,0
FUsxmzqBbUZnqePPR9iA73wz19jyW5Ayz7bNXtbFFfCa,1,0,0,0
7TAVSZpdonsnvryH24HSjc2UqU9WnXAgA5b44NxtmteH,1,0,0,0
BBGGWDSGKnhpQ91FxGPHmMcxrm2whrB8SHSDEuqSGwBv,1,0,0,0
Ueqj4PPy5QsSX7dN3wjtAPEKrsM28KzGPVuRmH2yvtr,1,0,0,0
43uG9rtyLv2SHGpXaK13nYa5pAogDE5gWChaidT4jVer,1,0,0,0
FrhssZgnWckqc7H7JY2ZxzUax8WVX5zZ6rM25BT8WZB4,1,0,0,0
4Jm8TceSgmpX2eBmCkFwQxs1eJ6tZbgQfGUyH193GfYq,13,0,0,0
9EHmFDPk4MuBdiGQyuahWpHbsmrvP5sZdRKyGiiGNCUk,8,0,0,0
DaoVpnQayuSd76ZdWW5Ag4JKwipEbnxgcvZGJ66ETGue,1,0,0,0
Bnt5dJuNPDWGuBKMpefxXwz6kVRBAXemDgCJCTHxh1vT,1,0,0,0
7bnayXvxiGNw6BgxvUWjthz2ELr5VZxEckcWouxmj7XC,2,0,0,0
A9jEyuFgcGK6QgmooczV28vjFwAaHqVuth89uujazb6W,1,0,0,0
5wuMQZNHkYhwFiX4kRuaMGS319oob3LHjkmT8mfdJvuh,1,0,0,0
qzZsXL134xi2SrkCjkEdj14TVADCzjeoKWZFWNDuUxq,1,0,0,0
5ziGNNkr3qAbYLkmqMR7ZfwSsUPKutHeW2sFwfZuAwZ4,1,0,0,0
E8Rw199ikCMF8wFNpFTD2tyiscjncX2pAUQpmKKzu7rw,1,0,0,0
6V95ZRr6bJxci2ueyPrEBXQVttJKgpoyMAyCdHfgWBp7,3,0,0,0
3nShJkiG46TtGR3QuG8J9T4y4KzPVmwmvvw5qb5HrxSg,4,0,0,0
EFxfsvtoPbSrccsxXSREs5RvvngTkNMGjAU5neJMPMBu,7,0,0,0
29g4JgLf8FfxAdxskRkt371SL1nrvwmzwQfw1WSfXTLt,1,0,0,0
DCSUdGYZCWN1Msjn2xLNonzawU5UngZT3JCjU1wcpRKm,13,0,0,0
Ag1tUcR6UB7bj1pPK5hQKtW5rjEhUUChgus7YxGyYe8M,4,0,0,0
A2uppbHBdQ8osP9pjVypbFvdhEkC1MKSZP8sy2TSYZvg,1,0,0,0
3yjASqjvBM6YtGR8hhwXqj2s63ee7G7Mdx5JLPgWggTn,1,0,0,0
5kF6Hyurb5nXL9Ywb5WYMsFHVDmnwtctP4vtDPfvtZJk,1,0,0,0
BaN2fyEn7ZiYjzKuskmzjUkUtBwQTe1RTitX2teXz72h,1,0,0,0
5USCqUia23pEwJaYincBMExYrGNWeRbEbsjFfHikY5uA,1,0,0,0
BRx9Be27cVb6XjrLJFEas5HVGcfduzQ94wmQTTTNEeg1,1,0,0,0
6mzK3bpprDpGDckgV9taqPnyLrMxMNLuJmMu7nfStPAz,1,1,0,0
6qjyMBuvSKNMUUkTLAAf4WRz1VQDcDdiiFdc1rupiRYF,6,0,0,0
6asMmzbUNCKP23xQNBuVwH1kmCN57Jip1pBRvToo19dK,3,0,0,0
2DyZVv8Hts3nNnYxFcci3AAvE4wynKW24UrjSigiE6pz,3,0,0,0
B1upFvWDLHbHJZVMDWPc44bJoPV2GmpVFfw4XANTk26p,1,0,0,0
J1c5pbqJ5NuAYKCfgsJ72CmqBGoDDK43dWmWrupujZ7j,1,0,0,0
FZNrSiYifncDHTRNB6L8AyGX3sQu4T5Jb9k56S1zgTsz,10,0,0,0
5GtyqYtSFNQPTwcvWnbuhuaXvLWxcGXt9NwQzL5FWX8r,1,0,0,0
51QKufwJTNxtsQF31NmQu6SL1Ka75aP4ieykqbHVcsLC,4,1,0,0
2ZysppmRXATa45488BtVBTcP6ULkwUhn1Nd4L4TgmBaZ,4,0,0,0
HqXDJu4LFyJsoYqtokvyuzkSmFgjiVhcVTc6dfc35yc2,2,2,0,0
53dq4SVNntgK67boezqyRoL1NamaKdGUKy9PE89e8hPN,1,0,0,0
BWsXCQqj46gZoCqGFf9NjdvxPvn94Q9KHad4TyLHh2kB,1,0,0,0
G2nZwrGDEa1QF7LbWxJwQwcX7qeeqtUwd9WFUsVygeyx,1,0,0,0
86Q2mbrUhafKKBDmmzJzkmBCpEvUvJTuimEg67Rj2xck,1,0,0,0
GTpWBJ1ksHbsch1AxtRe1zksBFa3Ctin1cz8aQbEXGdf,1,0,0,0
A4B6B6R2Au8kDFSDLLjuszyDrEyvTFXVvW8bijPmDQF6,1,1,0,0
4Tk66PVkaQZVQeYHNsrHkz9czyANtoqv6pZ8VrS9ZuYN,1,0,0,0
DBCoe9U9qgHMPELtc2TYHmh3REuZ93SouQMEZm3utDQ7,9,0,0,0
BUyd1heZgLFXG8eZ1GNzTxqqszqqeCyQdS2Xc6vnksB5,11,0,0,0
4nPV3jg9xRwKRacSCDgFQKUberpdoU44sXYaYRrvhhfy,8,0,0,0
FNeKs6nLBDLTcbqTZiYbtonHcF1J1HP3h1gieq97bsWQ,1,0,0,0
4spKm88TDo9p389q4MhywcnmDphopN3JLiQSJXcees7X,1,0,0,0
B87Q2wYtDqkMFqUEbc8J2gAbLdq76PFB48qwjPW8wCek,2,0,0,0
5WpSzzN1Fkz15tpqSuTk1qYDyatwM4gs2kQSFTqh5acH,1,0,0,0
J5HHyRpNuJkB3AsfxCWgQXNbK6orVWqHrAb7zv4T4PZB,3,0,0,0
BJdSvc7BLp3Ae6ZMKi12P2UxZCB9P3KvaErsa93FCjgN,5,0,0,0
Ba3ApDtYWrfsi3SuybTzA9Wmg14K59Eq8A9zL6GMJxYe,3,0,0,0
GoGYcYVDrs1YwGSvCYY9cyWN5orHVjeZPT3xqhUfzWq5,3,1,0,0
5DDdbQN7UAjX6nZuGVyzF9o7ntEVsapxtUvbZgJtwLvJ,3,0,0,0
DNwBN3Zi2eziXf8wVPu7hEHXpmSBVuC1GJz1h86x1hWZ,2,0,0,0
GDEi2cRGSoRoQxSDanQXSmqYpp8QSeRHuYGjinMJ6jk2,1,0,0,0
DFrRAHRfjPNPPjixqWpdKjiP12chi8ujr94kHCgeEez4,2,0,0,0
A81XBn1BpqttqqTyY7f7k2RsMRYQ5p2nFPhZAvNc2VVr,20,0,0,0
